Original_Name,Found_In_DB,NCBI_Gene_ID
Tbp,True,21374
Gata6,True,14465
Cldn5,True,12741
Abcg2,True,26357
Fgf18,True,14172
Kcnma1,True,16531
Itga8,True,241226
Hist1h1b,True,56702
Vim,True,22352
Nkx2-1,True,21869
Hmbs,True,15288
Amacr,True,17117
Tgfb1,True,21803
F13a1,True,74145
Vegfa,True,22339
Mgat4a,True,269181
Cd38,True,12494
Mcpt4,True,17227
Mmp3,True,17392
Cldn1,True,12737
Hpgds,True,54486
E2f8,True,108961
Nme3,True,79059
Gucy1a2,True,234889
Inmt,True,21743
Egfr,True,13649
Adamtsl2,True,77794
Foxf2,True,14238
Igfbp3,True,16009
Tfrc,True,22042
Ywhaz,True,22631
Hprt,True,15452
Prim2,True,19076
Mmp7,True,17393
Thy1,True,21838
Trp63,True,22061
Abcd1,True,11666
Epha7,True,13841
Cdh2,True,12558
Ager,True,11596
Sftpd,True,20390
Tnc,True,21924
